2010	1.07	1.56	1.74	3.84	6.8	7.89	9.2	3.46	1.67	2.22	2.49	2.81
2009	1.3	3.51	6.76	5.80	4.48	5.47	2.06	4.3	0.54	7.69	1.27	2.9
2008	3.53	3.71	1.88	2.46	4.63	4.88	4.53	1.51	10.83	2.7	1.28	6.51
2007	2.88	2.19	3.55	3.95	2	3.1	4.18	8.76	1.91	2.01	1.67	3.54
2006	3.48	1.33	3.16	3.87	3.19	3.87	4.24	7.12	4.32	6.63	2.97	3.37
2005	5.32	2.41	1.76	1.63	1.78	1.07	2.07	1.44	2.68	1.14	2.15	1.38
2004	1.09	0.75	3.93	1.9	5.57	2.94	4.46	5.01	0.86	2.42	5.02	1.75
2003	0.45	0.25	2.11	3.44	6.76	1.69	6.72	2.25	2.79	1.99	6.32	2.03
2002	1.77	0.78	3.02	5.17	5.84	4.29	1.12	4.06	1.9	2.07	1.47	1.53
2001	1.24	3.23	1.61	3.33	4.55	2.4	3.5	7.32	3.9	6.04	1.69	1.13
2000	1.56	1.4	1.17	4.74	6.48	4.81	4.07	3.19	6.2	1.95	2.65	2.9
1999	4.12	1.3	1.51	6.8	4.34	6.48	3.51	2.25	2.36	1.01	0.66	3.12
1998	3.4	2.34	5	3.69	4.59	4.59	1.66	5.85	5.26	3.81	1.88	1.64
1997	2.02	6.76	1.26	2.07	2.02	3.28	2.47	5.69	1.86	2.52	1.93	1.82
1996	1.68	0.56	1.7	3.43	6.2	5.46	10.29	0.76	2.9	2.43	2.46	2.52
1995	4.06	1	2.13	4.68	4.17	2.76	1.97	2.56	0.56	3.66	5.64	0.54
1994	1.81	2.69	0.68	3.01	0.76	3.53	1.76	5.84	1.03	3.65	4.07	2.52
1993	4.19	1.03	4.77	4.27	2.38	13.03	3.03	5.63	5.91	2.51	1.89	1
1992	1.2	1.52	2.38	2.01	0.25	1.83	4.13	1.96	6.85	0.73	5.24	3.13
1991	1.42	0.62	3.5	5.82	5.52	1.11	1.36	2.5	2.2	9.04	3.62	1.48
1990	2.44	3.13	3.36	2.11	6.89	5.07	6.81	4.02	1.51	4.82	7.03	2.25
1989	0.88	1.24	1.96	1.73	2.49	3.87	4.22	3.81	4.16	1.72	2.99	0.5
1988	2.07	1.29	2.84	2.1	1.92	1.09	4.35	2.71	1.21	3.52	6.01	2.78
1987	1.93	0.78	0.9	2.25	3.77	3.86	2.82	9.95	1.49	1.85	2.59	4.48
1986	0.46	2.61	1.48	1.74	3.89	4.71	5.08	1.19	7.12	3.21	2.78	1.23
1985	1.31	2.95	4.73	2.45	3.06	1.93	3.07	3.46	2.92	5.54	7.63	1.52
1984	1.15	1.86	3.5	4.48	4.25	3.21	1.69	3.79	5.08	3.61	3.17	4.58
1983	0.73	1.72	3.79	7.09	6.14	4.18	4.54	1.79	4.61	3.6	5.65	3.43
1982	2.94	1.14	5.05	3.42	3.93	3.68	6.28	3.3	1.57	1.54	6.15	7.21
1981	0.13	2.35	0.61	5.74	5.06	5.66	5.2	4.16	3.02	1.33	2.35	1.35
1980	0.45	0.73	0.81	2.93	4.54	3.57	4.36	6.51	5.12	2.92	1.28	2.97
1979	3	1.11	4.31	5.01	2	3.09	3.8	8.64	0.01	1.81	2.75	2.51
1978	2.41	0.9	1.22	3.94	3.09	3.69	6.38	1.69	2.8	1.4	1.88	4.11
1977	0.72	0.72	3.91	2.46	1.39	5.14	1.4	9.68	9.44	1.66	2.4	2.37
1976	1.34	2.18	5.37	4.78	4	6.55	3.06	0.8	2.17	2.32	0.55	0.86
1975	3.68	2.29	2.44	7.84	5.31	4.63	1.53	5.51	1.09	2.26	2.94	2.53
1974	3.28	2.07	2.85	4.33	5.98	6.25	3.96	0.9	1.53	1.21	2.82	2.35
1973	1.51	1.27	4.6	5.46	4.17	2.69	3.98	0.85	4.23	3.47	1.44	4.32
1972	1.11	0.92	3.51	3.66	2.88	2.77	2.86	6.19	5.75	3.62	3.18	4.74
